species,file,n,aba_obs,aba_z,aba_p,tail_obs,tail_z,tail_p,bound_rho,bound_z,bound_p,clade,learning_category
Papio_papio,1788450639417__y-hermine-14-gecks-s,74,3.0,-3.1975155808358635,1.0,25.0,4.307689916237104,0.0004997501249375,0.1457555266180621,0.9288847085191576,0.1799100449775112,primate,nonlearner
Papio_papio,1788450639417__y-hermine-12-gecks-s,70,4.0,-2.946995738659718,1.0,13.0,1.7702841861855882,0.0734632683658171,-0.0363194723061184,-0.1448776489714243,0.5567216391804098,primate,nonlearner
Papio_papio,1788450639418_y-atmosphere-2-scream,56,6.0,-1.1803369981256129,0.9205397301349324,33.0,4.306111616745813,0.0004997501249375,0.0208413755391273,0.111981443573321,0.4602698650674662,primate,nonlearner
Papio_papio,1788450639417_y-longscream-7-3.wav,47,5.0,-1.6260578833330803,0.9715142428785608,12.0,0.961689944344872,0.1974012993503248,-0.0438995690630929,-0.2169325019123377,0.5957021489255372,primate,nonlearner
Papio_papio,1788450639418__y-hermine-11-gecks-s,46,4.0,-1.249486077232949,0.9385307346326835,24.0,1.761103498947549,0.0609695152423788,-0.201742110598733,-1.1843333291542286,0.8705647176411794,primate,nonlearner
Papio_papio,1788450639419_y-vivien-29-grunt.wav,43,7.0,-0.6068799266141877,0.7806096951524237,10.0,1.2076707479738134,0.153423288355822,-0.0811685728204547,-0.3848274493442711,0.6466766616691654,primate,nonlearner
Cebus_malitiosus,XC1173134_-_Santa_Marta_White-front,198,37.0,-1.3466350907725777,0.9240379810094952,89.0,6.043654459197704,0.0004997501249375,0.3622352071018716,3.722793478394969,0.0004997501249375,primate,nonlearner
Cebus_malitiosus,XC1106858_-_Santa_Marta_White-front,48,6.0,-1.239384236734674,0.9245377311344328,10.0,0.550734483055935,0.3378310844577711,0.1235566675245795,0.6418142936386578,0.2638680659670165,primate,nonlearner
Hapalemur_occidentalis,XC1081907_-_Northern_Bamboo_Lemur_-,87,13.0,-1.4947923736695847,0.9500249875062468,32.0,2.3263352409259643,0.0164917541229385,-0.6208977485287445,-4.493161345975514,1.0,primate,usage_learner
Hapalemur_occidentalis,XC1081909_-_Northern_Bamboo_Lemur_-,32,10.0,2.092313996763226,0.0434782608695652,10.0,0.5827029168948866,0.336831584207896,-0.3127716210856122,-1.4036450139624923,0.9150424787606196,primate,usage_learner
Eulemur_rubriventer,XC1072254_-_Red-bellied_Lemur_-_Eul,107,9.0,-2.606682267867784,0.999000499750125,41.0,1.957754574992316,0.0379810094952523,0.0155187182570545,0.1475612470048583,0.4437781109445277,primate,usage_learner
Eulemur_rubriventer,XC1072253_-_Red-bellied_Lemur_-_Eul,40,11.0,1.5381830293821568,0.0989505247376311,8.0,-1.1594463388523069,0.9050474762618692,-0.0574889943427613,-0.2622978034963621,0.6026986506746627,primate,usage_learner
Macaca_mulatta,XC1006942_-_Rhesus_Macaque_-_Macaca,59,7.0,-0.9485246902200706,0.8680659670164917,33.0,2.6068264692380287,0.0089955022488755,0.5665104505359947,3.816623464773057,0.0004997501249375,primate,usage_learner
