file,species,onset,offset
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,0.540875,0.551
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,0.6255,0.629625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,0.664125,0.68925
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,0.789625,0.7995
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,0.876375,0.886
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,0.95425,0.960125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,0.974125,0.991875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.065,1.068625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.079375,1.0845
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.127375,1.137625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.151125,1.15475
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.23225,1.24225
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.295875,1.3015
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.3405,1.35025
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.400125,1.40375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.4395,1.450125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.465875,1.468375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.518375,1.521
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.542375,1.55175
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.661125,1.6635
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.674,1.68425
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.765375,1.7985
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.848375,1.858
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.871,1.877375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,1.913375,1.9305
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.012125,2.04475
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.07075,2.075
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.109125,2.123625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.163625,2.16725
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.21025,2.23875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.275875,2.291875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.324875,2.331
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.364625,2.39425
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.425375,2.435625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.466625,2.524625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.553125,2.5635
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.60025,2.60975
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.63575,2.649
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.678125,2.714125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.788375,2.794125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.81575,2.82525
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.91025,2.91975
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.94925,2.958125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,2.96825,2.978125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,3.0245,3.034125
